,user_id,auction_id,cat_id,cat1,buy_mount,day,birthday,age
0,513441334,19909384116,50010557,1,1,2012/12/12,2011/1/5,1.94
1,377550424,15771663914,50015841,2,1,2012/11/23,2011/6/20,1.43
2,47342027,14066344263,50013636,1,1,2012/9/11,2010/10/8,1.93
3,119784861,20796936076,50140021,1,1,2012/11/29,2012/3/27,0.68
4,159129426,15198386301,50013711,1,2,2012/8/8,2010/8/25,1.96
5,645596397,20115324762,50010549,1,1,2012/11/30,2013/2/20,-0.22
6,757254614,35900705534,50013711,1,1,2013/12/20,2009/5/28,4.57
7,275261625,23062392785,50010558,1,1,2013/6/10,2010/5/25,3.05
8,35832151,19178578964,50012451,1,1,2014/2/28,2009/4/1,4.92
9,1834895775,43246645145,50010544,1,1,2015/1/2,2009/5/15,5.64
10,131021484,15647837835,50006602,1,1,2012/9/10,2009/10/8,2.93
11,373726419,24033632962,50008727,3,1,2013/8/2,2013/8/28,-0.07
12,31795068,20749016489,121394024,1,1,2014/12/12,2007/11/24,7.05
13,20995405,36818435772,50013636,1,1,2014/7/31,2011/11/14,2.71
14,504804896,36740523560,50012361,5,1,2014/11/18,2010/2/20,4.75
15,669302326,8945822711,211122,6,6,2013/5/26,2010/4/6,3.14
16,1027969540,37554024452,50012442,1,1,2014/3/26,2013/2/28,1.07
17,369616040,37089344763,50023732,2,1,2014/8/21,2014/10/5,-0.12
18,419554296,37829194505,50024153,2,1,2014/12/31,2012/7/9,2.48
19,717297456,18852684292,50008727,3,1,2013/10/18,2013/6/12,0.35
20,874621830,26692404101,50012359,5,1,2013/11/25,2010/12/20,2.93
21,711528325,15799901720,50012451,1,1,2014/2/28,2010/11/14,3.29
22,2067426839,39215703623,50023591,4,1,2014/9/16,2015/3/1,-0.45
23,56736746,13725195879,50008817,2,10,2013/1/5,2012/11/5,0.17
24,91177545,38600977799,121466023,1,1,2014/10/29,2010/2/3,4.74
25,136997100,35447551022,50013636,1,1,2013/11/11,2013/1/13,0.83
26,707774847,35505954971,121472022,1,1,2014/12/30,2011/3/31,3.75
27,161512438,36797644528,50012564,3,1,2014/4/9,2013/3/4,1.1
28,2104818212,40553447811,121540027,2,1,2014/11/11,2014/3/27,0.63
